material,Ni,Cr,Co,Mo,W,Al,Ti,Nb,Ta,Fe,C,B,Zr,Hf,temperature_C,stress_MPa,test_env,process_type,solution_temp_C,solution_time_h,aging_temp_C,aging_time_h,gamma_prime_frac,gamma_prime_size_nm,grain_size_um,carbide_frac,creep_time_h
CM247LC,49.71036836744797,4.018048229021,0.7465539945971343,0.7464282145218555,0.2633627463638992,8.851841312196322,4.045069872614484,5.41898513707384,0.0915420387900014,15.419878118407782,7.862444392868777,1.0505134041063922,0.883229565773089,0.8917346062174748,750,417.9,vacuum,powder,1120,2.0,700,24,0.453,113.1,3.1,0.049,42.662
IN718,54.914282969842766,4.419745216589792,3.3599089078495985,2.04506117618964,5.622478376966218,0.8925574661468366,2.0527401558066183,2.710785870635991,3.6177382566390777,9.137022498955861,1.3232947073200878,4.289643123719779,5.332159968105178,0.28258130523255304,850,276.4,air,forged,1120,8.0,760,24,0.08,76.2,94.72,0.0469,16.423
IN718,30.51046786082585,13.933566638592565,15.7934880027732,7.742195441333583,1.702228329725489,0.48157529201617655,5.401350340272767,2.718084403228095,0.6098437196150038,3.202841560781427,0.16396722975751254,11.247465969804917,1.4031449092151493,5.089780302058283,900,433.6,air,powder,1100,0.5,760,1,0.149,200.2,146.08,0.031,8.224
CM247LC,40.507035466632665,2.732535564321051,2.9451233858130466,0.7607830372894804,13.001059870791105,5.554492633804795,10.44122939014451,8.383046027258297,3.3911614672134447,9.48960556451591,0.3448856817528881,0.8119492766198533,0.17227249715360754,1.464820136689372,850,223.6,vacuum,forged,1100,6.0,780,24,0.384,229.6,35.47,0.0199,69.883
MarM247,29.649722897538016,2.27125341932965,1.6976881042131993,4.027506850072145,0.7819086048565534,8.341576811465728,0.39881360873363403,22.31038604652835,7.615768276219895,1.1403930681973313,0.028504341249537914,8.698887054212745,6.3165803055294845,6.721010611853734,800,482.2,air,cast,1065,2.0,780,16,0.48,86.9,119.55,0.0012,15.217
IN718,43.20562920892812,0.43751977551308907,2.5245505867026075,0.7003915318974339,11.30936329604001,5.552517307663035,2.285263879048468,0.37347395971348246,2.118452819799143,2.236895739340803,7.438281329926062,5.77197977287724,12.41112027328133,3.6345605192691885,750,168.0,air,cast,1000,4.0,740,1,0.311,197.3,80.6,0.0026,115.779
IN738,54.038996101373506,4.109021597615828,7.350816395880135,3.395466557164358,3.6890429126568653,2.7820188854110692,0.1284133574943621,0.5693938309050198,0.1592646895832812,5.045857112181991,1.8822123614378814,3.5432042878598855,11.87622284903248,1.4300690614033258,850,96.1,air,cast,1120,4.0,650,16,0.404,168.3,34.0,0.0018,273.278
IN738,35.01770013293742,6.327398180455036,1.166915117587981,0.3597884458213434,1.5367235111075774,0.7896434149583877,11.92471091957833,7.414960944215015,4.50719514279096,9.214402885528262,7.312024097034627,0.927474634974403,10.0197006016897,3.4813619713209523,850,446.4,air,forged,980,1.0,700,24,0.061,247.6,8.6,0.0588,17.329
Rene88DT,39.96223239180734,2.912228873877023,8.90741154943017,10.305948238778754,0.036471806276539974,3.737284341590725,2.8244822492287454,1.3130718491518636,0.6674973305771322,2.1534072238625224,14.968043905411276,2.040878346075356,3.8239450034385594,6.347096890493999,800,395.9,air,cast,1040,2.0,740,24,0.354,62.9,114.23,0.0069,18.657
IN718,39.608507451731406,16.274375864093965,14.970763494704158,1.3231035936885274,3.1367317124927885,1.6326862156286697,1.5292286811814895,0.17144016956762792,4.290018904404581,3.1862708069469297,0.2410782301900114,1.4898917481984562,10.896698607421705,1.2492045197496746,750,177.4,inert,forged,1065,2.0,650,8,0.531,240.8,48.15,0.0085,184.071
